R&M_01,dset_sample,100,100,0.99,33.0,#FFFFFF,#3FBF3F,#BFFF3F,#00003F,#BFBF7F,#FFFFBF,#7FBF3F,#7F3F3F,#007F3F,#BFBFBF
R&M_02,dset_sample,100,100,0.99,99.0,#BF7F7F,#FFFF7F,#BFBFBF,#FFFFFF,#7FBFFF,#7F3F00,#BFBF7F,#FFBF7F,#7F7F3F,#FFFFBF
R&M_04,dset_sample,100,100,0.99,4.95,#BF7F00,#FFFFBF,#BF3F7F,#FFBF3F,#7F3F00,#FF7F7F,#BFBF7F,#3F3F00,#FFBF7F,#FFFFFF
R&M_03,dset_sample,100,100,0.99,0.16203,#FFFFFF,#3F3F3F,#000000,#BFBFBF,#7F3F00,#7F7F7F,#3F3F3F,#FFFF7F,#BFFFFF,#FFFFBF
R&M_05,dset_sample,100,100,0.99,1.04211,#BFFFBF,#7F7F3F,#3F0000,#BFBF7F,#FFBFBF,#3F3F3F,#7F7F7F,#FFFFBF,#7FBF7F,#7F3F00
