186004,mondrian,250,194,0.4,0.02743,#000000,#FFFFFF,#7F7F7F,#3F3F3F,#BFBFBF,#FFFFFF
185986,mondrian,250,163,0.39755,1.95181,#3F3F7F,#FFFFFF,#FFFFFF,#00003F,#BF7FBF,#FFBFBF,#7F7F00,#7F3F00,#000000,#BF7F3F
186047,mondrian,250,365,0.3989,0.06988,#3F3F7F,#FFBFFF,#3F3F00,#000000,#7F3F7F,#FFFFFF,#7F0000,#000000,#BF7FBF,#7F7F3F
186067,mondrian,250,307,0.3987,0.29738,#FFFFFF,#7F3F00,#BFBFFF,#3F7F3F,#00003F,#3F7FBF,#007F7F,#BF7F7F,#000000,#BF3F00
185981,mondrian,250,315,0.39873,3.23711,#3F7F3F,#FFBF7F,#BF0000,#BFFFFF,#3F0000,#7F7F3F,#7FBF7F,#000000,#FF3F00,#FF7F00
186020,mondrian,250,389,0.39897,0.01723,#000000,#7F7F3F,#7F0000,#BF3F00,#FFFFFF,#3F0000,#FF7F3F,#FFBF7F,#3F7F3F,#00003F
186058,mondrian,250,188,0.39787,62.33333,#7F7FBF,#FFFFFF,#3F3FBF,#3F0000,#BF3F00,#BFFFFF,#BF3F7F,#00007F,#FF7FBF,#FF3F3F
186071,mondrian,250,339,0.39882,1.06289,#FF7F7F,#3F3F00,#FF0000,#BF7F00,#FFFFBF,#000000,#BF0000,#FF7F3F,#7F3F7F,#7F7F7F
186022,mondrian,250,335,0.39881,0.05395,#3F003F,#BFBFBF,#BF7F3F,#000000,#BFBF7F,#3F7F00,#3F3F3F,#FFFFFF,#FFFFBF,#3F7F7F
186009,mondrian,250,398,0.39899,1.31023,#7F3F3F,#3F7FBF,#000000,#7FBFFF,#7F7F7F,#3F3F7F,#BF7F7F,#7FBFBF,#007F3F,#000000
186062,mondrian,250,192,0.39792,0.13594,#003F00,#FF3F00,#7F3F00,#7F7F00,#FF7F3F,#BF0000,#BF7F3F,#FF7F00,#7F3F00,#3F0000
186061,mondrian,250,202,0.39802,67.0,#FF7F00,#7F003F,#7F0000,#000000,#7FBF3F,#BF7F3F,#FFBF7F,#000000,#3F7F3F,#BF3F00
185983,mondrian,250,331,0.39879,0.26358,#003F00,#FFBFFF,#3F3F3F,#3F3F3F,#BF7FBF,#7F0000,#FFFFFF,#BF7F3F,#000000,#7F007F
186015,mondrian,250,298,0.39866,0.07375,#7F7F3F,#BFFFFF,#000000,#FFFFFF,#BFBFBF,#BFFFBF,#7F7F00,#000000,#BFBF3F,#3F0000
186038,mondrian,250,283,0.39859,0.19016,#7FBF7F,#3F003F,#3F3F3F,#3F7F3F,#3F7FBF,#7FBFFF,#003F3F,#3F0000,#BFBF3F,#7F7F00
186035,mondrian,250,324,0.39877,0.01026,#3F3F00,#FFFFFF,#00003F,#3F7F3F,#FFFFBF,#FFFF7F,#3F3F00,#7F7F7F,#7FBFBF,#FF7F7F
