,img_ID,artist,height,width,whitespace,chiaroscuro,color_01,color_02,color_03,color_04,color_05,color_06,color_07,color_08,color_09,color_10
1194,223607,hokusai,250,367,0.39891,0.25137,#3F007F,#FFFFBF,#3F7F3F,#003F3F,#BFBFBF,#3F7F7F,#3F3F3F,#FFBF7F,#000000,#7F7F7F
1195,223610,hokusai,250,354,0.4,0.42909,#FFBFBF,#3F003F,#BFBFBF,#BF7F7F,#BFBF7F,#7F3F3F,#FFFFBF,#3F3F3F,#3F003F,#7F7F7F
1197,223612,hokusai,250,372,0.4,0.15945,#3F7FBF,#BFBFBF,#000000,#FFFFFF,#7F7F7F,#3F3F3F,#BFFFFF,#FFFF7F,#00007F,#3F7F7F
1198,223613,hokusai,250,378,0.39894,0.37143,#BFBFBF,#00003F,#FFFFBF,#7F7F7F,#3F3F3F,#7FBF7F,#BFBF7F,#3F7F7F,#000000,#7FBFBF
1199,223614,hokusai,250,371,0.39892,0.07084,#000000,#7FBFBF,#7F7F7F,#FFFF7F,#003F3F,#BFFFBF,#7FBF7F,#BFFFFF,#00007F,#BFBF7F
1200,223615,hokusai,250,357,0.39888,0.13459,#BFBFBF,#3F3F3F,#FFFFBF,#7F7F3F,#3F003F,#BFBF7F,#BF7F7F,#007FBF,#00003F,#FFBF7F
1201,223616,hokusai,250,374,0.39893,0.06109,#FFFFBF,#3F3F3F,#000000,#FFBF3F,#BFBF3F,#3F7F3F,#3F7F7F,#003F3F,#7F7F3F,#BFBFBF
1202,223619,hokusai,250,379,0.39894,0.15646,#FFFFBF,#003F7F,#3F7FBF,#000000,#FF7F7F,#BFBFBF,#BF7F3F,#3F3F3F,#7FBFBF,#3F3F3F
1203,223620,hokusai,250,378,0.39894,1.09593,#FFFFFF,#3F7FBF,#FFBF7F,#3F3F3F,#7FBFBF,#BFBF3F,#FFBFBF,#3F003F,#3F7F3F,#BFBFBF
1204,223621,hokusai,250,333,0.4,0.25955,#000000,#BFBFBF,#3F7F7F,#FFFFFF,#BFBFFF,#3F3F3F,#BFBF7F,#7F7F7F,#BFFFFF,#003F7F
1206,223623,hokusai,250,330,0.39879,0.03902,#BFBF7F,#3F7F3F,#00003F,#BF7F3F,#3F3F3F,#7F7F3F,#003F00,#BFBF3F,#7F3F3F,#3F3F00
1207,223624,hokusai,250,378,0.39894,0.07789,#000000,#7FBFBF,#BF7F3F,#FFFFBF,#FFBF7F,#3F3F3F,#7F7F7F,#00003F,#7F7F3F,#FF7F3F
1208,223629,hokusai,250,118,0.39661,0.08435,#BF7F7F,#3F0000,#7F3F3F,#3F3F3F,#BFBF7F,#7F7F3F,#BF7F3F,#FFFFBF,#FFBF7F,#3F0000
1210,223633,hokusai,250,177,0.4,1.24648,#BFBFBF,#3F3F00,#FFFFFF,#7F7F7F,#FFFFBF,#FFBFBF,#BFBF7F,#7F7F3F,#7F3F3F,#BF7F7F
1211,223634,hokusai,250,373,0.39893,0.12047,#3F007F,#FFFFFF,#3F7F7F,#003F3F,#7FBFFF,#3F7FBF,#000000,#FFBF7F,#003F7F,#FFFFBF
1212,223635,hokusai,250,111,0.3964,0.02906,#BFBF7F,#3F3F3F,#FFBF3F,#000000,#7F7F3F,#FFFF3F,#3F3F3F,#7FBF7F,#FFFF7F,#BF7F00
1213,223636,hokusai,250,277,0.39856,0.69347,#FFBFBF,#7F7F3F,#BFBFBF,#3F3F3F,#BFBF7F,#7F7F7F,#000000,#BF7F7F,#7F3F3F,#7FBF7F
