229346,warhol,100,100,0.99,0.14286,#7FBFBF,#FFBF3F,#000000,#FFBFBF,#FFFF3F,#3F3F00,#3F7FBF,#7F7F3F,#BF7FBF,#3FBFBF
300243,warhol,100,100,1.0,2.43902,#3F3F3F,#FFFFFF,#BFBF7F,#7F3F00,#7F7F7F,#BFBFBF,#3F003F,#3F3F3F,#7F3F3F,#7F7F3F
229280,warhol,100,100,0.99,0.07529,#BF3F7F,#7F7F3F,#3F0000,#3F3F3F,#7F3F3F,#00003F,#BF3F7F,#BF003F,#7F7F3F,#7F3F3F
229281,warhol,100,100,0.99,0.0839,#FF3F3F,#3F0000,#FFFF3F,#BF3F3F,#3F0000,#FFFFBF,#7F3F3F,#7F0000,#3F003F,#FFBF3F
229282,warhol,100,100,0.99,0.54696,#BF3F7F,#3F003F,#3F3FBF,#FF7FBF,#3F003F,#BF7F7F,#3F3F7F,#7F3F3F,#FFFFFF,#BF7FBF
229283,warhol,100,100,0.99,0.50769,#FFFFFF,#3F3F3F,#BF7F7F,#BFBFBF,#3F003F,#7F7F7F,#FFFFBF,#7F3F3F,#FFBFBF,#3F003F
229349,warhol,100,100,0.99,0.04282,#BF7F7F,#000000,#BF7F3F,#3F3F3F,#BFBF7F,#7F7F3F,#BFBF3F,#3F3F3F,#7F3F3F,#3F3F3F
229399,warhol,100,100,1.0,0.61728,#BF3F7F,#FFFFFF,#BF0000,#7FBFFF,#FF7F00,#7F3F3F,#BFBFBF,#FFBFBF,#000000,#BF3F3F
229398,warhol,100,100,1.0,0.12469,#3F003F,#FFFFFF,#FFFF3F,#7F7F00,#BFBFBF,#3F3F3F,#BFBF3F,#3F3F3F,#7F7F7F,#FFFFBF
300219,warhol,100,100,0.99,33.0,#FFBFBF,#FFFFFF,#BF7F7F,#FFFFBF,#BF003F,#BF3F3F,#BFBFBF,#BFBF7F,#7F3F3F,#7F7F7F
229347,warhol,100,100,0.99,49.5,#FF00BF,#007FBF,#FFFFFF,#003F3F,#FF0000,#007F7F,#FF00FF,#BFBFBF,#003F7F,#7F003F
229272,warhol,100,100,0.99,0.45833,#FF007F,#7F3F3F,#3F7FFF,#FFBF00,#000000,#BFBFBF,#FF3F7F,#007F3F,#007FBF,#FFBF3F
229277,warhol,100,100,0.99,0.18821,#FF7F00,#7F3F7F,#00007F,#FF0000,#FFFFFF,#FF007F,#000000,#FFFF00,#7FBF00,#007FFF
229363,warhol,100,100,1.0,2.04082,#FFFFBF,#FF0000,#BF7F7F,#FFFFFF,#3F0000,#BF3F00,#BF0000,#FF3F3F,#BFBFBF,#7F3F3F
229304,warhol,100,100,0.99,1.32,#000000,#3F7F3F,#FFFFFF,#FFBF00,#FF7FBF,#7FBFFF,#FF3F7F,#FF0000,#3F3F7F,#3F3F00
229301,warhol,100,100,0.99,0.04312,#3F3F3F,#FFBF3F,#003F3F,#FFFF3F,#FFFF7F,#3F003F,#BF7F3F,#3F3F3F,#7F3F00,#BFBF3F
229302,warhol,100,100,0.99,0.04764,#3F7F00,#BFFFFF,#3F3F00,#7FFFFF,#3F3F3F,#3F7F7F,#7FBFBF,#3F7F00,#003F3F,#7FBFFF
229303,warhol,100,100,0.99,0.05028,#FF3F7F,#3F3F3F,#FFFF3F,#7F7FBF,#003F3F,#3F3F3F,#3F7F3F,#003F00,#BF003F,#BFBF00
229294,warhol,100,100,1.0,20.0,#FF7FBF,#3F003F,#7FBFBF,#FFFFFF,#FFBF3F,#FF3F00,#7FBFFF,#FFBF7F,#BFBFBF,#7F7F7F
229340,warhol,100,100,0.99,0.04308,#BF7F00,#BFFFFF,#000000,#FF7F3F,#7FBFBF,#FF3F3F,#FFBF00,#3F3F00,#7F7F7F,#BFBF00
229342,warhol,100,100,0.99,0.08236,#BFFFBF,#003F7F,#7F7F7F,#000000,#3FBF7F,#BF7F7F,#3F3F3F,#3FBF3F,#00003F,#FFFFFF
229343,warhol,100,100,0.99,0.05491,#7F7F7F,#FFFFFF,#3F0000,#BF3F00,#BF3F3F,#FFBFBF,#BF3F00,#FF7F3F,#FF0000,#3F0000
229344,warhol,100,100,0.99,0.04101,#00BFBF,#003F3F,#007F3F,#003F7F,#3F003F,#FFFFBF,#003F3F,#003F3F,#007F7F,#3F0000
229339,warhol,100,100,0.99,0.05763,#FF0000,#3F007F,#FFFFBF,#003F00,#3F3F7F,#3F0000,#BFBF7F,#3F00BF,#7F7F3F,#BF0000
229341,warhol,100,100,0.99,0.04091,#3F003F,#BFFFFF,#FFFF7F,#3F3F3F,#7FBFBF,#BF7F3F,#3F3F3F,#FFFFBF,#3F0000,#BFBFFF
300234,warhol,100,100,1.0,0.04838,#000000,#BFFFBF,#7FBF7F,#FFFFFF,#BFBFBF,#7F7F7F,#BFBF7F,#3F3F3F,#FFBFBF,#BF7F7F
229338,warhol,100,100,0.99,0.08564,#7F7FBF,#7F3F00,#FF7F00,#000000,#BFBFFF,#7FBFBF,#3F3F00,#7F7F3F,#3F0000,#BFBF7F
229328,warhol,100,100,0.99,0.09008,#00007F,#7F003F,#3F0000,#00003F,#BF7F7F,#7F0000,#3F0000,#7F3F7F,#3F003F,#BF3F3F
229337,warhol,100,100,0.99,0.0335,#7F7FBF,#3F0000,#FF3F3F,#BFBF7F,#3F3F3F,#FF7F7F,#3F0000,#BF3F3F,#FF3F00,#7FBFBF
229290,warhol,100,100,0.99,0.0287,#000000,#7F7FBF,#BF7F3F,#7F3F00,#FFFF3F,#BFBFBF,#3F3F3F,#7F7F7F,#7FBFBF,#3F3F00
229352,warhol,100,100,1.0,0.01571,#3F3F00,#FFFFFF,#3F0000,#BF7F7F,#BFBFBF,#7F3F3F,#FFFFBF,#3F0000,#7F7F7F,#FFBFBF
229353,warhol,100,100,0.99,0.02401,#FFBFBF,#3F0000,#BF3F3F,#3F3F00,#7F0000,#FFFFBF,#FFFFFF,#BF7F3F,#BFBF3F,#7F003F
300229,warhol,100,100,0.99,0.02,#FF7F7F,#3F0000,#7F3F3F,#3F0000,#3F3F7F,#BF3F00,#7FBFFF,#3F3F3F,#BF7FBF,#BF3F3F
229354,warhol,100,100,1.0,0.04746,#FFBF7F,#000000,#FFFFFF,#BF7F3F,#FF7FBF,#3F3F3F,#BFBF7F,#BF7F7F,#FFFF7F,#BFBF3F
229368,warhol,100,100,0.99,0.02842,#FFBF7F,#003F00,#3F3F3F,#FFBFBF,#BF7F7F,#7F3F3F,#3F3F00,#BFBF7F,#BF7F3F,#3F3F00
229384,warhol,100,100,0.99,0.18033,#FFFFBF,#3F3F00,#BF7F3F,#FFFF00,#BFFF7F,#FFBF7F,#FFBFBF,#FFFF7F,#7F7F3F,#000000
300221,warhol,100,100,0.99,0.02275,#BFBF3F,#00003F,#FFBFBF,#3F3F3F,#7F7F3F,#3F7F7F,#FFFF3F,#BF7F7F,#7F3F3F,#3F003F
300236,warhol,100,100,1.0,6.25,#FFFFBF,#FFBF3F,#3F3F00,#FFFF3F,#FFBF00,#7F7F3F,#FFFF7F,#BFBF3F,#BF7F00,#FFFFFF
229385,warhol,100,100,1.0,0.05602,#3F0000,#FFBF00,#FFFFFF,#3F7F3F,#BF3F3F,#3F0000,#FF7F3F,#3F3F3F,#FFBFBF,#FF7F00
229274,warhol,100,100,0.99,0.25515,#BF7F7F,#3F0000,#BF7F3F,#7F3F3F,#FF7F7F,#3F3F3F,#3F0000,#FFFFFF,#FFBF7F,#7F7F3F
229275,warhol,100,100,1.0,0.09452,#FFFFFF,#3F3F3F,#BF7F7F,#000000,#BFBFBF,#7F7F7F,#FFBFBF,#00003F,#BFBF7F,#FFFFBF
300198,warhol,100,100,0.99,0.1471,#FFFFBF,#7F3F3F,#BF7F3F,#00003F,#FFBF7F,#3F3F00,#FFBFBF,#7F3F3F,#BFBF7F,#BF3F3F
300202,warhol,100,100,1.0,0.05612,#FFFFFF,#00003F,#BFBFBF,#7F7F7F,#3F3F3F,#FFBFBF,#FFFFBF,#BF7F7F,#BFBF7F,#7F3F3F
300237,warhol,100,100,0.99,0.01727,#000000,#3F7F7F,#3F3F3F,#3F7FBF,#3F003F,#3F003F,#3F3F3F,#7F003F,#3F3F7F,#3F3F00
229314,warhol,100,100,1.0,0.82645,#FFFFBF,#3F3F3F,#FFFFFF,#FF3F3F,#000000,#BFBFBF,#BF3F00,#7F7F7F,#FFBFBF,#7F3F3F
9223372032559853793,warhol,100,100,1.0,0.17699,#BFBFBF,#7F3F3F,#7FBFFF,#00003F,#FFBFBF,#FFFFFF,#BF7F7F,#BFBFFF,#BFBF7F,#3F3F00
9223372032559811412,warhol,100,100,0.99,0.01704,#3F7F7F,#003F00,#BFBFBF,#3F3F3F,#3F7FBF,#7F7F7F,#003F3F,#3F7F7F,#FFBFBF,#00003F
229376,warhol,100,100,1.0,0.08969,#FFFFFF,#3F3F3F,#3F0000,#BF7F7F,#BFBFBF,#7F7F3F,#7F7F7F,#3F003F,#7F3F3F,#FFBFBF
300193,warhol,100,100,0.99,0.04855,#BF7F7F,#000000,#FFBF3F,#FFBFBF,#7F7FBF,#3F3F3F,#FFBF7F,#BF7FBF,#FFBF3F,#BF7F00
300228,warhol,100,100,0.99,3.0,#BF7F3F,#7F3F3F,#7F7F3F,#BF3F3F,#3F3F3F,#3F3F3F,#7F7F7F,#BF7F7F,#3F0000,#3F0000
229360,warhol,100,100,0.99,0.03668,#3F0000,#FF3F3F,#3F003F,#7F3F00,#3F3F00,#FFFFFF,#3F7F3F,#BF003F,#FF003F,#003F3F
229362,warhol,100,100,0.99,0.04615,#3F3F00,#FFBF00,#7F3F3F,#000000,#7F7F3F,#7F3F3F,#FF7F3F,#FFFFFF,#3F003F,#7F003F
229257,warhol,100,100,0.99,0.03171,#3F0000,#FFBFBF,#FFFFFF,#7F7F3F,#7F3F00,#3F0000,#7F7F7F,#FFBF7F,#3F3F3F,#FFFFBF
229359,warhol,100,100,0.99,0.03445,#3F3F00,#BF3F3F,#FFBF3F,#7F3F3F,#3F003F,#3F003F,#FF3F3F,#FF7F3F,#7F7F3F,#BF7F00
300211,warhol,100,100,0.99,0.03008,#FFFFFF,#000000,#BFBF7F,#FFFFBF,#7F7F3F,#3F3F3F,#FFBFBF,#BFBFBF,#7F7F7F,#BF7F7F
300225,warhol,100,100,0.99,0.02665,#000000,#BFBFBF,#BF0000,#FFFFBF,#BF7F7F,#BFBFFF,#7F7FBF,#FF3F00,#FFBFBF,#3F3F3F
229258,warhol,100,100,1.0,0.31646,#FFFFFF,#3F3F7F,#BFBFBF,#003F3F,#7F7F7F,#7F7FBF,#3F3F3F,#FFFFBF,#FFBFBF,#7F3F3F
229378,warhol,100,100,1.0,16.66667,#BF7F7F,#FFBFBF,#3F0000,#7FBFBF,#BF3F00,#FFFFFF,#7FBFFF,#FFBF7F,#7F3F3F,#BF7F3F
229382,warhol,100,100,0.99,0.06694,#FF7F3F,#7F7F7F,#3F0000,#003FBF,#007F7F,#BF7F3F,#3F7FBF,#7F7F3F,#FFBF3F,#003F3F
300196,warhol,100,100,1.0,0.84746,#FFFFFF,#FFFFBF,#3F3F3F,#FFBF7F,#BFBFBF,#7F7F7F,#000000,#FFBFBF,#BFBF7F,#BF7F7F
300200,warhol,100,100,1.0,0.09662,#FFBFBF,#000000,#BF7F7F,#FFFFFF,#FFFFBF,#3F3F3F,#BF7F3F,#BFBF7F,#FFBF7F,#BFBFBF
300204,warhol,100,100,1.0,0.05187,#FFFFFF,#3F3F3F,#00003F,#BFBF7F,#BF003F,#FFFFBF,#7F7F7F,#7F003F,#BFBFBF,#BF3F3F
300210,warhol,100,100,1.0,1.53846,#FFFFBF,#7F7F3F,#BFBF7F,#FFFFFF,#3F003F,#BF7F7F,#FFBFBF,#7F3F3F,#BF7F3F,#003F00
300241,warhol,100,100,0.99,0.06122,#BFFFFF,#3F3F3F,#FFBFBF,#000000,#BF7F7F,#FFFFFF,#FFBF7F,#7F7F7F,#BFBFBF,#00003F
229386,warhol,100,100,0.99,0.1491,#FFFFFF,#3F0000,#BF7F7F,#FFFF00,#3F0000,#7F7F00,#BFBFBF,#3F3F3F,#BF3F00,#7F7F7F
229312,warhol,100,100,1.0,0.07502,#3F0000,#FFFFFF,#FF7F3F,#BF3F3F,#FFBF7F,#7F003F,#BF3F00,#3F0000,#7F7F3F,#FFBFBF
229315,warhol,100,100,0.99,0.0325,#3F0000,#BF7F7F,#BF0000,#003F7F,#BF7F00,#003FBF,#BF3F00,#3F0000,#FF0000,#FFBF00
229330,warhol,100,100,0.99,0.07372,#FFBFBF,#3F0000,#7FBFFF,#7F7F7F,#003F00,#3F3F7F,#3F3F3F,#7FBFBF,#FF7FBF,#7F7FBF
